actor_id,actor_name
1111,Choi Gwi-hwa
1112,Choi Jin-ho
1113,Choi Jung-woo
1114,Choi Min-ho
1115,Choi Min-sik
1116,Choi Sung-kook
1117,Choi Woo-shik
1118,Chorus Girl
1119,Chosen Jacobs
1120,Chow Yun-fat
1121,Chris 'Oz' Ostreicher
1122,Chris Bauer
1123,Chris Brown
1124,Chris Carmack
1125,Chris Cooper
1126,Chris Coy
1127,Chris Diamantopoulos
1128,Chris Edgerly
1129,Chris Elliott
1130,Chris Ellis
1131,Chris Evans
1132,Chris Farley
1133,Chris Geere
1134,Chris Hemsworth
1135,Chris Jai Alex
1136,Chris Johnson
1137,Chris Klein
1138,Chris Marquette
1139,Chris Messina
1140,Chris Miller
1141,Chris Mulkey
1142,Chris Noth
1143,Chris O'Donnell
1144,Chris O'Dowd
1145,Chris Owen
1146,Chris Pang
1147,Chris Parnell
1148,Chris Penn
1149,Chris Pine
1150,Chris Pontius
1151,Chris Pratt
1152,Chris Rock
1153,Chris Sanders
1154,Chris Sarandon
1155,Chris Shields
1156,Chris Tucker
1157,Chris Warren
1158,Chris Wedge
1159,Chris Williams
1160,Christa Campbell
1161,Christa Peterson
1162,Christian Bale
1163,Christian Berkel
1164,Christian Camargo
1165,Christian Clavier
1166,Christian Convery
1167,Christian Cooke
1168,Christian De Sica
1169,Christian Grey
1170,Christian Kane
1171,Christian Rubeck
1172,Christian Slater
1173,Christian Vance
1174,Christina Applegate
1175,Christina Hendricks
1176,Christina Milian
1177,Christina Moore
1178,Christina Pickles
1179,Christina Ricci
1180,Christina Vidal
1181,Christine Baranski
1182,Christine Cavanaugh
1183,Christine Ebersole
1184,Christine Elise
1185,Christine Lakin
1186,Christine Taylor
1187,Christoph Waltz
1188,Christopher Abbott
1189,Christopher Berry
1190,Christopher Convery
1191,Christopher Cousins
1192,Christopher Daniel Barnes
1193,Christopher Eccleston
1194,Christopher Fairbank
1195,Christopher Gaze
1196,Christopher Gorham
1197,Christopher Guest
1198,Christopher James Baker
1199,Christopher Knights
1200,Christopher Lambert
1201,Christopher Lee
1202,Christopher Lloyd
1203,Christopher Masterson
1204,Christopher McDonald
1205,Christopher Meloni
1206,Christopher Mintz-Plasse
1207,Christopher Plummer
1208,Christopher Reeve
1209,Christopher Walken
1210,Christy Canyon
1211,Christy Chung
1212,Chuck Connors
1213,Chuck McCann
1214,Chuck Norris
1215,Chun Woo-hee
1216,Ciara Bravo
1217,Ciarán Hinds
1218,Cicely Tyson
1219,Cillian Murphy
1220,Cinda Adams
1221,Cindy Campbell
1222,Cindy Williams
1223,Claire Bloom
1224,Claire Danes
1225,Claire Dearing
1226,Claire Forlani
1227,Claire Foy
1228,Claire Holt
1229,Clancy Brown
1230,Clara Lago
1231,Clare Higgins
1232,Clarence Nash
1233,Clarence Williams III
1234,Clark Duke
1235,Clark Gable
